[
﻿{ id:22,gender:'colt',name: 'jim-bob',  color: "bay",foaling_date: "25250525",markings: "white sock left foreleg",birthplace: "cackalacki",img_url: "https://s-media-cache-ak0.pinimg.com/564x/bd/66/d5/bd66d5fcaaaee27f7f07356ef0d88dc2.jpg", stallion_id: 3, broodmare_id: 11 },
{ id:21,gender:'colt',name: 'rex',  color: "bay",foaling_date: "20221122",markings: "white sock left foreleg",birthplace: "virginia",img_url: "https://s-media-cache-ak0.pinimg.com/564x/bd/66/d5/bd66d5fcaaaee27f7f07356ef0d88dc2.jpg", stallion_id: 2, broodmare_id: 15 },
{ id:20,gender:'filly',name: 'bubba',  color: "bay",foaling_date: "20221122",markings: "white sock left foreleg",birthplace: "texas",img_url: "https://s-media-cache-ak0.pinimg.com/564x/bd/66/d5/bd66d5fcaaaee27f7f07356ef0d88dc2.jpg", stallion_id: 1, broodmare_id: 17 },
{ id:19,gender:'mare', name:"Unrivaled Belle", age:11,  color:"gr/r",registry_tattoo:"J46464", barren:false, num_foals:4,  expected_foaling_date:"20170422",  in_foal_now: true, img_url: "https://s-media-cache-ak0.pinimg.com/736x/dc/55/7d/dc557dbef3c1d1817051ad04582778c7.jpg",link_to_pedigree_url:"http://www.pedigreequery.com/unrivaled+belle", stallion_id: 1 },
{ id:18,gender:'mare', name:"Evening Star", age:11,  color:"b",registry_tattoo:"J28411", barren:false, num_foals:1,  expected_foaling_date:"20180115",  in_foal_now: true,  img_url: "https://s-media-cache-ak0.pinimg.com/736x/dc/55/7d/dc557dbef3c1d1817051ad04582778c7.jpg",link_to_pedigree_url:"http://www.pedigreequery.com/evening+star19", stallion_id: 5 },
{ id:17,gender:'mare', name:"Free Spin", age:19,  color:"b",registry_tattoo:"B34646", barren:false, num_foals:6,  expected_foaling_date:"20170422",  in_foal_now: true,  img_url: "https://s-media-cache-ak0.pinimg.com/736x/dc/55/7d/dc557dbef3c1d1817051ad04582778c7.jpg", link_to_pedigree_url:"http://www.pedigreequery.com/free+spin", stallion_id: 2 },
{ id:16,gender:'mare', name:"Goldfield", age:9,  color:"b",registry_tattoo:"L19411", barren:false, num_foals:2,  expected_foaling_date:"20180115",  in_foal_now: true,  img_url: "https://s-media-cache-ak0.pinimg.com/736x/dc/55/7d/dc557dbef3c1d1817051ad04582778c7.jpg",link_to_pedigree_url:"http://www.pedigreequery.com/goldfield9", stallion_id: 6 },
{ id:15,gender:'mare', name:"Ivanavinalot", age:17,  color:"b",registry_tattoo:"D23411", barren:false, num_foals:4,  expected_foaling_date:"20180215",  in_foal_now: true,  img_url: "https://s-media-cache-ak0.pinimg.com/736x/dc/55/7d/dc557dbef3c1d1817051ad04582778c7.jpg", link_to_pedigree_url:"http://www.pedigreequery.com/ivanavinalot", stallion_id: 4 },
{ id:14,gender:'mare', name:"Medium of Letters", age:14,  color:"b",registry_tattoo:"G13311", barren:false, num_foals:2,  expected_foaling_date:"20180315",  in_foal_now: true,  img_url: "https://s-media-cache-ak0.pinimg.com/736x/dc/55/7d/dc557dbef3c1d1817051ad04582778c7.jpg",link_to_pedigree_url:"http://www.pedigreequery.com/medium+of+letters2", stallion_id: 7 },
{ id:13,gender:'mare', name:"Send For An Angel", age:16,  color:"dkb/br",registry_tattoo:"E23911", barren:false, num_foals:2,  expected_foaling_date:"20180131",  in_foal_now: true,  img_url: "https://s-media-cache-ak0.pinimg.com/736x/dc/55/7d/dc557dbef3c1d1817051ad04582778c7.jpg",link_to_pedigree_url:"http://www.pedigreequery.com/send+for+an+angel", stallion_id: 9 },
{ id:12,gender:'mare', name:"Unrivaled Belle", age:11,  color:"gr/r",registry_tattoo:"J46464", barren:true, num_foals:4,  in_foal_now: false,  img_url: "https://s-media-cache-ak0.pinimg.com/736x/dc/55/7d/dc557dbef3c1d1817051ad04582778c7.jpg",link_to_pedigree_url:"http://www.pedigreequery.com/send+for+an+angel" },
{ id:11,gender:'mare', name:"Zenyatta", age:13,  color:"dkb/br",registry_tattoo:"H23464", barren:false, num_foals:4,  expected_foaling_date:"20180222",  in_foal_now: true,  img_url: "https://s-media-cache-ak0.pinimg.com/736x/dc/55/7d/dc557dbef3c1d1817051ad04582778c7.jpg",link_to_pedigree_url:"http://www.pedigreequery.com/zenyatta", stallion_id: 3 },
{ id:10,gender:'stallion', name:"Afleet Alex", age:15,  color:"b",registry_tattoo:"F12340", stud_fee:10000, stakes_winner_progeny:4,  img_url:"http://i.bloodhorse.com/sroimages//medium/0000118658_1.jpg",link_to_pedigree_url:"http://www.pedigreequery.com/afleet+alex" },
{ id:9,gender:'stallion', name:"Blame", age:11,  color:"b",registry_tattoo:"J22240", stud_fee:25000, stakes_winner_progeny:3,  img_url:"http://www.bloodhorse.com/stallion-register/stallions/125939/blame",link_to_pedigree_url:"http://www.pedigreequery.com/blame5" },
{ id:8,gender:'stallion', name:"Candy Ride", age:18,  color:"b",registry_tattoo:"C22240", stud_fee:60000, stakes_winner_progeny:5,  img_url:"http://www.bloodhorse.com/stallion-register/stallions/119326/candy-ride-arg",link_to_pedigree_url:"http://www.pedigreequery.com/candy+ride" },
{ id:7,gender:'stallion', name:"Curlin", age:13,  color:"ch",registry_tattoo:"H29240", stud_fee:150000, stakes_winner_progeny:6,  img_url:"http://www.bloodhorse.com/stallion-register/stallions/127542/curlin",link_to_pedigree_url:"http://www.pedigreequery.com/curlin" },
{ id:6,gender:'stallion', name:"Giant's Causeway", age:20,  color:"ch",registry_tattoo:"A12340", stud_fee:75000, stakes_winner_progeny:7,  img_url:"http://i.bloodhorse.com/sroimages//medium/0000118201_1.jpg",link_to_pedigree_url:"http://www.pedigreequery.com/giants+causeway" }, 
{ id:5,gender:'stallion', name:"High Cotton", age:14,  color:"b",registry_tattoo:"G22340", stud_fee:4000, stakes_winner_progeny:3,  img_url:"http://www.abouthorseraces.com/graphics/bc06/trav06-7s.jpg",link_to_pedigree_url:"http://www.pedigreequery.com/high+cotton2" },
{ id:4,gender:'stallion', name:"Kitten's Joy", age:16,  color:"ch",registry_tattoo:"E22340", stud_fee:100000, stakes_winner_progeny:7,  img_url:"http://i.bloodhorse.com/sroimages//medium/0000131164_1.jpg",link_to_pedigree_url:"http://www.pedigreequery.com/kittens+joy" },
{ id:3,gender:'stallion', name:"Medaglia D'Oro", age:18,  color:"dkb/br",registry_tattoo:"C22345", stud_fee:150000, stakes_winner_progeny:7,  img_url:"http://i.bloodhorse.com/sroimages//medium/0000132019_1.jpg",link_to_pedigree_url:"http://www.pedigreequery.com/medaglia+doro" },
{ id:2,gender:'stallion', name:"Tapit", age:16,  color:"gr",registry_tattoo:"E12345", stud_fee:300000, stakes_winner_progeny:8,  img_url:"https://www.thoroughbredracing.com/media/filer_public_thumbnails/drupal_files/TapitGallopSmCC%20resize.jpg__760x480_q85_crop_subsampling-2_upscale.jpg",link_to_pedigree_url:"http://www.pedigreequery.com/tapit" },
{ id:1,gender:'stallion', name:"Temple City", age:12,  color:"dkb/br",registry_tattoo:"F12340", stud_fee:15000, stakes_winner_progeny:3,  img_url:"http://i.bloodhorse.com/sroimages//medium/0000136098_1.jpg",link_to_pedigree_url:"http://www.pedigreequery.com/temple+city" }
]
